HEB0002,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HEB0003,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HEB0004,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.97491,0.0250896,0,0,0,0.992993,0.00700701,0,0,0
HEB0005,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HEB0006,1,0,0,0,0,1,0,0,0,0,0.967568,0.0324324,0,0,0,1,0,0,0,0,0.322581,0.677419,0,0,0,0.804805,0.195195,0,0,0
HEB0008,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.97491,0.0250896,0,0,0,0.992993,0.00700701,0,0,0
HEB0009,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HEB0010,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
HEB0011,1,0,0,0,0,1,0,0,0,0,0.924324,0.0756757,0,0,0,1,0,0,0,0,0.949821,0.0501792,0,0,0,0.971972,0.028028,0,0,0
HEB0012,1,0,0,0,0,1,0,0,0,0,0.562162,0.437838,0,0,0,1,0,0,0,0,0.949821,0.0501792,0,0,0,0.904905,0.0950951,0,0,0
HEB0013,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.97491,0.0250896,0,0,0,0.992993,0.00700701,0,0,0
HEB0014,0.938907,0.0610932,0,0,0,1,0,0,0,0,0.362162,0.637838,0,0,0,1,0,0,0,0,0,1,0,0,0,0.583584,0.416416,0,0,0
HEB0015,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HEB0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0024,0,0.758842,0.241158,0,0,0.361111,0.638889,0,0,0,0,0,0.297297,0.702703,0,0,0.888298,0.111702,0,0,0,0.297491,0.197133,0.505376,0,0.013013,0.50951,0.206206,0.271271,0
HEB0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0029,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HEB0030,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HEB0031,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HEB0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0034,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HEB0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0072,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.97491,0.0250896,0,0,0,0.992993,0.00700701,0,0,0
HEB0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0105,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HEB0106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HEB1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
HETAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
TJBET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
TJDAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
TJFTZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
TJLUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
TJSJT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677419,0,0,0,0,0.189189,0,0,0
